name,city,id,lat,lng,airport_id
General Enrique Mosconi Airport,Tartagal,TTG,-22.619600296,-63.7937011719,6027
Las Heras Airport,Las Heras,LHS,-46.53829956049999,-68.9653015137,6028
Antoine De St Exupery Airport,San Antonio Oeste,OES,-40.7512,-65.0343,6029
Lago Argentino Airport,El Calafate,ING,-50.336102,-72.248596,6030
Gobernador Gregores Airport,Gobernador Gregores,GGS,-48.7831001282,-70.1500015259,6031
Santa Teresita Airport,Santa Teresita,SST,-36.5423,-56.7218,6032
Necochea Airport,Necochea,NEC,-38.4831,-58.8172,6033
Aeropuerto de Rafaela,Rafaela,RAF,-31.282072,-61.501594,6869
Zapala Airport,ZAPALA,APZ,-38.975498,-70.113602,7221
Rincon De Los Sauces Airport,Rincon de los Sauces,RDS,-37.3905982971,-68.9041976929,7222
Colonia Sarmiento,Colonia Sarmiento,OLN,-45.6,-69.083333,7223
Rio Turbio,Rio Turbio,RYO,-51.533333,-72.3,7225
Caleta Olivia,Caleta Olivia,CVI,-46.4333,-67.5333,7227
Fitz Roy,El Chalten,\N,-47.033333,-67.25,7228
Sierra Grande Airport,Sierra Grande,SGV,-41.5917015076,-65.33940124509999,7229
Cabo F.A.A. H. R. Bordón Airport,Ingeniero Jacobacci,IGB,-41.320899963399995,-69.5748977661,7230
Lago Posadas,Lago Posadas,\N,-47.533333,-71.75,7231
El Chalten,El Chalten,ELX,-49.328889,-72.93,7232
Aeropuerto Internacional Valle del Conlara,Merlo,RLO,-32.349803,-65.179932,7308
D. Casimiro Szlapelis Airport,Alto Rio Senguer,ARR,-45.013599,-70.812202,7311
Jose De San Martin Airport,Jose de San Martin,JSM,-44.048599243199995,-70.4589004517,7312
Darsena Norte,Buenos Aires,\N,-34.5978,-58.367841,7679
Gilberto Lavaque,Cafayate,CFX,-26.06245,-65.932095,8852
Termas de Río Hondo international Airport,Rio Hondo,RHD,-27.4966,-64.93595,8914
Plaza de los Virreyes Station,Buenos Aires,\N,-34.64306,-58.461635,10365
Puerto Madero,Buenos Aires,\N,-34.6119,-58.3647,11156
Tolwin Observatory Airport,Tolhuin,\N,-54.521900177,-67.1989974976,11433
Presidente Néstor Kirchner Regionsl Airport,Villa Maria,VMR,-32.3201,-63.22663,11929
